Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Berlin,Sun,21:10:00,Clear,Cool,57,Fahrenheit,No Rain
Kiritimati,Mon,09:10:00,Passing clouds,Warm,86,Fahrenheit,No Rain
São Paulo,Sun,16:10:00,Light rain. Mostly cloudy,Cool,54,Fahrenheit,Rain
Bogota,Sun,14:10:00,Broken clouds,Mild,66,Fahrenheit,No Rain
Kolkata,Mon,00:40:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Seattle,Sun,12:10:00,Passing clouds,Mild,65,Fahrenheit,No Rain
Boston,Sun,15:10:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Kuala Lumpur,Mon,03:10:00,Haze,Warm,81,Fahrenheit,No Rain
Seoul,Mon,04:10:00,Clear,Mild,66,Fahrenheit,No Rain
Brasilia,Sun,16:10:00,Thundershowers. Broken clouds,Mild,72,Fahrenheit,Rain
Kuwait City,Sun,22:10:00,Clear,Extremely hot,96,Fahrenheit,No Rain
Shanghai,Mon,03:10:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Brisbane,Mon,05:10:00,No Weather Condition Given,Cool,61,Fahrenheit,Unknown
Kyiv,Sun,22:10:00,Passing clouds,Cool,57,Fahrenheit,No Rain
Singapore,Mon,03:10:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Brussels,Sun,21:10:00,Light rain. Clear,Mild,70,Fahrenheit,Rain
La Paz,Sun,15:10:00,Partly sunny,Cool,55,Fahrenheit,No Rain
Sofia,Sun,22:10:00,Clear,Mild,76,Fahrenheit,No Rain
Bucharest,Sun,22:10:00,Clear,Mild,73,Fahrenheit,No Rain
Lagos,Sun,20:10:00,Passing clouds,Warm,79,Fahrenheit,No Rain
St. John's,Sun,16:40:00,Light rain. Fog,Cool,57,Fahrenheit,Rain
Budapest,Sun,21:10:00,Clear,Mild,66,Fahrenheit,No Rain
Lahore,Mon,00:10:00,Clear,Warm,82,Fahrenheit,No Rain
Stockholm,Sun,21:10:00,Clear,Cool,59,Fahrenheit,No Rain
Buenos Aires,Sun,16:10:00,Sunny,Cool,48,Fahrenheit,No Rain
Las Vegas,Sun,12:10:00,Light rain. Partly sunny,Warm,78,Fahrenheit,Rain
Suva,Mon,07:10:00,Overcast,Mild,71,Fahrenheit,No Rain
Cairo,Sun,22:10:00,Clear,Warm,84,Fahrenheit,No Rain
Lima,Sun,14:10:00,Overcast,Mild,76,Fahrenheit,No Rain
Sydney,Mon,05:10:00,Passing clouds,Cool,57,Fahrenheit,No Rain
Calgary,Sun,13:10:00,Fog,Cool,52,Fahrenheit,No Rain
Lisbon,Sun,20:10:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Taipei,Mon,03:10:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Canberra,Mon,05:10:00,Low clouds,Cool,46,Fahrenheit,No Rain
London,Sun,20:10:00,Clear,Mild,70,Fahrenheit,No Rain
Tallinn,Sun,22:10:00,Clear,Refreshingly cool,59,Fahrenheit,No Rain
Cape Town,Sun,21:10:00,Clear,Mild,64,Fahrenheit,No Rain
Los Angeles,Sun,12:10:00,Light rain. Cloudy,Mild,70,Fahrenheit,Rain
Tashkent,Mon,00:10:00,Clear,Pleasantly warm,79,Fahrenheit,No Rain
Caracas,Sun,15:10:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Madrid,Sun,21:10:00,Sunny,Hot,90,Fahrenheit,No Rain
Tegucigalpa,Sun,13:10:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Casablanca,Sun,20:10:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Managua,Sun,13:10:00,Scattered clouds,Hot,91,Fahrenheit,No Rain
Tehran,Sun,22:40:00,Clear,Pleasantly warm,84,Fahrenheit,No Rain
Chicago,Sun,14:10:00,Scattered clouds,Warm,78,Fahrenheit,No Rain
Manila,Mon,03:10:00,Overcast,Warm,78,Fahrenheit,No Rain
Tokyo,Mon,04:10:00,Rain showers. Low clouds,Mild,72,Fahrenheit,Rain
Copenhagen,Sun,21:10:00,Overcast,Cool,61,Fahrenheit,No Rain
Melbourne,Mon,05:10:00,Partly cloudy,Cool,52,Fahrenheit,No Rain
Toronto,Sun,15:10:00,Partly sunny,Mild,68,Fahrenheit,No Rain
Dallas,Sun,14:10:00,Scattered clouds,Extremely hot,95,Fahrenheit,No Rain
Mexico City,Sun,13:10:00,Scattered clouds,Mild,70,Fahrenheit,No Rain
Vancouver,Sun,12:10:00,Passing clouds,Mild,64,Fahrenheit,No Rain
Dar es Salaam,Sun,22:10:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Miami,Sun,15:10:00,Thunderstorms. Broken clouds,Warm,86,Fahrenheit,Rain
Vienna,Sun,21:10:00,Clear,Mild,66,Fahrenheit,No Rain
Darwin,Mon,04:40:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Minneapolis,Sun,14:10:00,Overcast,Warm,79,Fahrenheit,No Rain
Warsaw,Sun,21:10:00,Passing clouds,Cool,61,Fahrenheit,No Rain
Denver,Sun,13:10:00,Passing clouds,Pleasantly warm,80,Fahrenheit,No Rain
Minsk,Sun,22:10:00,Clear,Cool,54,Fahrenheit,No Rain
Washington DC,Sun,15:10:00,Scattered clouds,Warm,81,Fahrenheit,No Rain
Detroit,Sun,15:10:00,Partly sunny,Mild,76,Fahrenheit,No Rain
Montevideo,Sun,16:10:00,Partly sunny,Quite cool,45,Fahrenheit,No Rain
Winnipeg,Sun,14:10:00,No Weather Condition Given,Warm,80,Fahrenheit,Unknown
Dhaka,Mon,01:10:00,Passing clouds,Warm,83,Fahrenheit,No Rain
Montréal,Sun,15:10:00,Broken clouds,Mild,70,Fahrenheit,No Rain
Yangon,Mon,01:40:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Doha,Sun,22:10:00,Clear,Extremely hot,95,Fahrenheit,No Rain
Moscow,Sun,22:10:00,Passing clouds,Cool,54,Fahrenheit,No Rain
Zagreb,Sun,21:10:00,Clear,Mild,75,Fahrenheit,No Rain
Dubai,Sun,23:10:00,Clear,Extremely hot,99,Fahrenheit,No Rain
Mumbai,Mon,00:40:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Zürich,Sun,21:10:00,Passing clouds,Mild,72,Fahrenheit,No Rain
