Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Banjul,Tuesday,11:49:00,Broken clouds,Mild,75,Fahrenheit,No Rain
Minsk,Tuesday,14:49:00,Scattered clouds,Mild,66,Fahrenheit,No Rain
Barcelona,Tuesday,13:49:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Monaco,Tuesday,13:49:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Basse-Terre,Tuesday,07:49:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Monrovia,Tuesday,11:49:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Beijing,Tuesday,19:49:00,Clear,Mild,73,Fahrenheit,No Rain
Montevideo,Tuesday,08:49:00,Sunny,Cool,48,Fahrenheit,No Rain
Beirut,Tuesday,14:49:00,Passing clouds,Hot,89,Fahrenheit,No Rain
Montréal,Tuesday,07:49:00,Passing clouds,Cool,46,Fahrenheit,No Rain
Belém,Tuesday,08:49:00,Sunny,Warm,81,Fahrenheit,No Rain
Moroni,Tuesday,14:49:00,Partly sunny,Warm,79,Fahrenheit,No Rain
Belgrade,Tuesday,13:49:00,Partly sunny,Mild,72,Fahrenheit,No Rain
Moscow,Tuesday,14:49:00,Overcast,Cool,60,Fahrenheit,No Rain
Belmopan,Tuesday,05:49:00,Passing clouds,Warm,85,Fahrenheit,No Rain
Mumbai,Tuesday,17:19:00,Scattered clouds,Warm,87,Fahrenheit,No Rain
Belushya Guba,Tuesday,14:49:00,Partly sunny,Cool,60,Fahrenheit,No Rain
Muscat,Tuesday,15:49:00,No Weather Condition Given,Hot,90,Fahrenheit,Unknown
Bengaluru,Tuesday,17:19:00,Scattered clouds,Warm,88,Fahrenheit,No Rain
N'Djamena,Tuesday,12:49:00,Clear,Hot,91,Fahrenheit,No Rain
Berlin,Tuesday,13:49:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Nairobi,Tuesday,14:49:00,Partly sunny,Mild,68,Fahrenheit,No Rain
Bern,Tuesday,13:49:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Nassau,Tuesday,07:49:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Bishkek,Tuesday,17:49:00,Scattered clouds,Pleasantly warm,82,Fahrenheit,No Rain
New Delhi,Tuesday,17:19:00,Partly sunny,Extremely hot,94,Fahrenheit,No Rain
Bissau,Tuesday,11:49:00,Partly sunny,Warm,82,Fahrenheit,No Rain
New Orleans,Tuesday,06:49:00,Clear,Warm,81,Fahrenheit,No Rain
Bogota,Tuesday,06:49:00,Scattered clouds,Cool,50,Fahrenheit,No Rain
New York,Tuesday,07:49:00,Sunny,Cool,57,Fahrenheit,No Rain
Boston,Tuesday,07:49:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Ngerulmud,Tuesday,20:49:00,Overcast,Warm,85,Fahrenheit,No Rain
Brasilia,Tuesday,08:49:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Niamey,Tuesday,12:49:00,Passing clouds,Hot,91,Fahrenheit,No Rain
Bratislava,Tuesday,13:49:00,Scattered clouds,Mild,73,Fahrenheit,No Rain
Nicosia,Tuesday,14:49:00,Scattered clouds,Extremely hot,93,Fahrenheit,No Rain
Brazzaville,Tuesday,12:49:00,Clear,Warm,86,Fahrenheit,No Rain
Norilsk,Tuesday,18:49:00,Passing clouds,Refreshingly cool,56,Fahrenheit,No Rain
Bridgetown,Tuesday,07:49:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Novosibirsk,Tuesday,18:49:00,Overcast,Cool,59,Fahrenheit,No Rain
Brisbane,Tuesday,21:49:00,No Weather Condition Given,Cool,66,Fahrenheit,Unknown
Nuku'alofa,Wednesday,00:49:00,Partly cloudy,Mild,68,Fahrenheit,No Rain
Brussels,Tuesday,13:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Nusantara,Tuesday,19:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Bucharest,Tuesday,14:49:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Nuuk,Tuesday,10:49:00,Light rain. Broken clouds,Quite cool,43,Fahrenheit,Rain
Budapest,Tuesday,13:49:00,Scattered clouds,Mild,75,Fahrenheit,No Rain
Oklahoma City,Tuesday,06:49:00,Clear,Warm,78,Fahrenheit,No Rain
Buenos Aires,Tuesday,08:49:00,Passing clouds,Cool,54,Fahrenheit,No Rain
Omsk,Tuesday,17:49:00,Overcast,Mild,63,Fahrenheit,No Rain
Bujumbura,Tuesday,13:49:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Oral,Tuesday,16:49:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Cairns,Tuesday,21:49:00,Overcast,Mild,72,Fahrenheit,No Rain
Oslo,Tuesday,13:49:00,Light rain. Low clouds,Cool,55,Fahrenheit,Rain
Cairo,Tuesday,14:49:00,Sunny,Extremely hot,93,Fahrenheit,No Rain
Ottawa,Tuesday,07:49:00,Scattered clouds,Quite cool,45,Fahrenheit,No Rain
Calgary,Tuesday,05:49:00,Light rain. Partly cloudy,Quite cool,45,Fahrenheit,Rain
Palikir,Tuesday,22:49:00,Mostly cloudy,Warm,79,Fahrenheit,No Rain
Canberra,Tuesday,21:49:00,Passing clouds,Cool,46,Fahrenheit,No Rain
Panama,Tuesday,06:49:00,Partly cloudy,Warm,81,Fahrenheit,No Rain
Cancún,Tuesday,06:49:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Papeete,Tuesday,01:49:00,Partly cloudy,Mild,75,Fahrenheit,No Rain
Cape Town,Tuesday,13:49:00,Partly sunny,Mild,64,Fahrenheit,No Rain
Paramaribo,Tuesday,08:49:00,Passing clouds,Warm,78,Fahrenheit,No Rain
Caracas,Tuesday,07:49:00,Sunny,Warm,79,Fahrenheit,No Rain
Paris,Tuesday,13:49:00,Passing clouds,Pleasantly warm,84,Fahrenheit,No Rain
Cardiff,Tuesday,12:49:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Perth,Tuesday,19:49:00,Passing clouds,Mild,68,Fahrenheit,No Rain
Casablanca,Tuesday,12:49:00,Sunny,Warm,82,Fahrenheit,No Rain
Petropavlovsk-Kamchatsky,Tuesday,23:49:00,Fog,Cool,52,Fahrenheit,No Rain
Cayenne,Tuesday,08:49:00,Sunny,Warm,82,Fahrenheit,No Rain
Pevek,Tuesday,23:49:00,Fog,Chilly,36,Fahrenheit,No Rain
Chennai,Tuesday,17:19:00,Scattered clouds,Hot,91,Fahrenheit,No Rain
Philadelphia,Tuesday,07:49:00,Passing clouds,Cool,59,Fahrenheit,No Rain
Chibougamau,Tuesday,07:49:00,Sunny,Quite cool,43,Fahrenheit,No Rain
Phoenix,Tuesday,04:49:00,Passing clouds,Warm,85,Fahrenheit,No Rain
Chicago,Tuesday,06:49:00,Partly cloudy,Mild,69,Fahrenheit,No Rain
Pituffik,Tuesday,08:49:00,Sunny,Chilly,28,Fahrenheit,No Rain
Chita,Tuesday,20:49:00,Clear,Cool,55,Fahrenheit,No Rain
Podgorica,Tuesday,13:49:00,Passing clouds,Pleasantly warm,81,Fahrenheit,No Rain
Chișinău,Tuesday,14:49:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Pond Inlet,Tuesday,07:49:00,Overcast,Chilly,34,Fahrenheit,No Rain
Chongqing,Tuesday,19:49:00,Mostly cloudy,Mild,68,Fahrenheit,No Rain
Ponta Delgada,Tuesday,11:49:00,Partly sunny,Warm,79,Fahrenheit,No Rain
Conakry,Tuesday,11:49:00,No Weather Condition Given,Warm,84,Fahrenheit,Unknown
Pontianak,Tuesday,18:49:00,Thundershowers. Low clouds,Mild,76,Fahrenheit,Rain
Copenhagen,Tuesday,13:49:00,Mostly cloudy,Mild,63,Fahrenheit,No Rain
Port-aux-Francais,Tuesday,16:49:00,No Weather Condition Given,Chilly,37,Fahrenheit,Unknown
Coral Harbour,Tuesday,06:49:00,Clear,Chilly,34,Fahrenheit,No Rain
Port Louis,Tuesday,15:49:00,Partly sunny,Mild,71,Fahrenheit,No Rain
Córdoba,Tuesday,08:49:00,Passing clouds,Chilly,40,Fahrenheit,No Rain
Port of Spain,Tuesday,07:49:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Dakar,Tuesday,11:49:00,Thunderstorms. Passing clouds,Mild,73,Fahrenheit,Rain
Port Vila,Tuesday,22:49:00,Partly cloudy,Mild,70,Fahrenheit,No Rain
Dallas,Tuesday,06:49:00,Clear,Warm,82,Fahrenheit,No Rain
Porto Novo,Tuesday,12:49:00,Scattered clouds,Warm,84,Fahrenheit,No Rain
Damascus,Tuesday,14:49:00,Sunny,Extremely hot,95,Fahrenheit,No Rain
Prague,Tuesday,13:49:00,Scattered clouds,Mild,68,Fahrenheit,No Rain
Danmarkshavn,Tuesday,11:49:00,Clear,Chilly,29,Fahrenheit,No Rain
Pretoria,Tuesday,13:49:00,No Weather Condition Given,Mild,73,Fahrenheit,Unknown
Dar es Salaam,Tuesday,14:49:00,Partly sunny,Warm,86,Fahrenheit,No Rain
Punta Arenas,Tuesday,08:49:00,Clear,Chilly,27,Fahrenheit,No Rain
Darwin,Tuesday,21:19:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Pyongyang,Tuesday,20:49:00,Sunny,Mild,76,Fahrenheit,No Rain
Denpasar,Tuesday,19:49:00,Scattered clouds,Warm,81,Fahrenheit,No Rain
Quito,Tuesday,06:49:00,Passing clouds,Cool,48,Fahrenheit,No Rain
Denver,Tuesday,05:49:00,Partly cloudy,Refreshingly cool,56,Fahrenheit,No Rain
Rabat,Tuesday,12:49:00,Scattered clouds,Warm,79,Fahrenheit,No Rain
Detroit,Tuesday,07:49:00,Clear,Mild,64,Fahrenheit,No Rain
Rarotonga,Tuesday,01:49:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Dhaka,Tuesday,17:49:00,Partly sunny,Hot,88,Fahrenheit,No Rain
Regina,Tuesday,05:49:00,Mostly cloudy,Cool,48,Fahrenheit,No Rain
Dodoma,Tuesday,14:49:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Resolute Bay,Tuesday,06:49:00,Overcast,Chilly,27,Fahrenheit,No Rain
Doha,Tuesday,14:49:00,Clear,Extremely hot,104,Fahrenheit,No Rain
Reykjavik,Tuesday,11:49:00,Passing clouds,Cool,48,Fahrenheit,No Rain
Douglas,Tuesday,12:49:00,Scattered clouds,Cool,61,Fahrenheit,No Rain
Riga,Tuesday,14:49:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Dubai,Tuesday,15:49:00,Sunny,Extremely hot,104,Fahrenheit,No Rain
Rio Branco,Tuesday,06:49:00,Sunny,Mild,70,Fahrenheit,No Rain
Dublin,Tuesday,12:49:00,Partly sunny,Cool,59,Fahrenheit,No Rain
Rio de Janeiro,Tuesday,08:49:00,Mostly cloudy,Mild,70,Fahrenheit,No Rain
Dushanbe,Tuesday,16:49:00,Clear,Hot,91,Fahrenheit,No Rain
Riyadh,Tuesday,14:49:00,Sunny,Extremely hot,109,Fahrenheit,No Rain
Easter Island,Tuesday,06:49:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Rome,Tuesday,13:49:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Edinburgh,Tuesday,12:49:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Rovaniemi,Tuesday,14:49:00,Passing clouds,Cool,54,Fahrenheit,No Rain
Edmonton,Tuesday,05:49:00,Ice fog,Chilly,30,Fahrenheit,No Rain
Saint-Denis,Tuesday,15:49:00,Passing clouds,Mild,75,Fahrenheit,No Rain
El Aaiún,Tuesday,12:49:00,Clear,Extremely hot,97,Fahrenheit,No Rain
Salt Lake City,Tuesday,05:49:00,Clear,Cool,54,Fahrenheit,No Rain
Eucla,Tuesday,20:34:00,No Weather Condition Given,Cool,58,Fahrenheit,Unknown
Samara,Tuesday,15:49:00,Passing clouds,Mild,72,Fahrenheit,No Rain
Eureka,Tuesday,06:49:00,Low clouds,Cold,23,Fahrenheit,No Rain
San Francisco,Tuesday,04:49:00,Passing clouds,Cool,58,Fahrenheit,No Rain
Fairbanks,Tuesday,03:49:00,Clear,Quite cool,41,Fahrenheit,No Rain
San Jose,Tuesday,05:49:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Fortaleza,Tuesday,08:49:00,Partly sunny,Warm,82,Fahrenheit,No Rain
San Juan,Tuesday,07:49:00,Partly cloudy,Warm,81,Fahrenheit,No Rain
Frankfurt,Tuesday,13:49:00,Sunny,Warm,79,Fahrenheit,No Rain
San Salvador,Tuesday,05:49:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Freetown,Tuesday,11:49:00,Rain. Partly sunny,Warm,77,Fahrenheit,Rain
Santiago,Tuesday,08:49:00,Clear,Quite cool,45,Fahrenheit,No Rain
Funafuti,Tuesday,23:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Santo Domingo,Tuesday,07:49:00,Passing clouds,Warm,78,Fahrenheit,No Rain
Gaborone,Tuesday,13:49:00,Passing clouds,Warm,79,Fahrenheit,No Rain
São Paulo,Tuesday,08:49:00,More clouds than sun,Cool,57,Fahrenheit,No Rain
Georgetown,Tuesday,07:49:00,Passing clouds,Warm,77,Fahrenheit,No Rain
São Tomé,Tuesday,11:49:00,Partly sunny,Warm,88,Fahrenheit,No Rain
Gibraltar,Tuesday,13:49:00,Sunny,Warm,77,Fahrenheit,No Rain
Sarajevo,Tuesday,13:49:00,Partly sunny,Mild,70,Fahrenheit,No Rain
Gitega,Tuesday,13:49:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Seattle,Tuesday,04:49:00,Clear,Cool,57,Fahrenheit,No Rain
Guatemala City,Tuesday,05:49:00,Passing clouds,Chilly,34,Fahrenheit,No Rain
Seoul,Tuesday,20:49:00,Clear,Mild,68,Fahrenheit,No Rain
Hagåtña,Tuesday,21:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Shanghai,Tuesday,19:49:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Halifax,Tuesday,08:49:00,Passing clouds,Cool,50,Fahrenheit,No Rain
Singapore,Tuesday,19:49:00,Partly sunny,Warm,86,Fahrenheit,No Rain
Hamilton,Tuesday,08:49:00,Scattered showers. Broken clouds,Warm,79,Fahrenheit,Rain
Skopje,Tuesday,13:49:00,Passing clouds,Pleasantly warm,79,Fahrenheit,No Rain
Hanoi,Tuesday,18:49:00,Light rain. Partly cloudy,Warm,77,Fahrenheit,Rain
Sofia,Tuesday,14:49:00,Partly sunny,Mild,65,Fahrenheit,No Rain
Happy Valley-Goose Bay,Tuesday,08:49:00,Passing clouds,Cool,50,Fahrenheit,No Rain
Sri Jayawardenepura Kotte,Tuesday,17:19:00,Sprinkles. Overcast,Warm,83,Fahrenheit,Rain
Harare,Tuesday,13:49:00,Sunny,Mild,76,Fahrenheit,No Rain
St. John's,Tuesday,09:19:00,Mostly cloudy,Cool,61,Fahrenheit,No Rain
Havana,Tuesday,07:49:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Stanley,Tuesday,08:49:00,Partly cloudy,Chilly,37,Fahrenheit,No Rain
Helsinki,Tuesday,14:49:00,Passing clouds,Refreshingly cool,61,Fahrenheit,No Rain
Stockholm,Tuesday,13:49:00,Scattered clouds,Mild,63,Fahrenheit,No Rain
Hermosillo,Tuesday,04:49:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Suva,Tuesday,23:49:00,Overcast,Mild,71,Fahrenheit,No Rain
Hobart,Tuesday,21:49:00,Passing clouds,Quite cool,45,Fahrenheit,No Rain
Sydney,Tuesday,21:49:00,Overcast,Cool,59,Fahrenheit,No Rain
Hong Kong,Tuesday,19:49:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Taipei,Tuesday,19:49:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Honiara,Tuesday,22:49:00,Overcast,Warm,80,Fahrenheit,No Rain
Tallinn,Tuesday,14:49:00,Sunny,Refreshingly cool,61,Fahrenheit,No Rain
Honolulu,Tuesday,01:49:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Tarawa,Tuesday,23:49:00,Passing clouds,Warm,83,Fahrenheit,No Rain
Houston,Tuesday,06:49:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Tashkent,Tuesday,16:49:00,Sunny,Pleasantly warm,85,Fahrenheit,No Rain
Hovd,Tuesday,18:49:00,Partly sunny,Pleasantly warm,78,Fahrenheit,No Rain
Tbilisi,Tuesday,15:49:00,Sunny,Warm,83,Fahrenheit,No Rain
Indianapolis,Tuesday,07:49:00,Clear,Mild,65,Fahrenheit,No Rain
Tegucigalpa,Tuesday,05:49:00,Passing clouds,Mild,70,Fahrenheit,No Rain
Inuvik,Tuesday,05:49:00,Light snow. Mostly cloudy,Chilly,36,Fahrenheit,No Rain
Tehran,Tuesday,15:19:00,Passing clouds,Hot,91,Fahrenheit,No Rain
Irkutsk,Tuesday,19:49:00,Overcast,Mild,66,Fahrenheit,No Rain
Tiksi,Tuesday,20:49:00,Overcast,Chilly,40,Fahrenheit,No Rain
Islamabad,Tuesday,16:49:00,Overcast,Warm,79,Fahrenheit,No Rain
Tirana,Tuesday,13:49:00,Partly sunny,Pleasantly warm,84,Fahrenheit,No Rain
Istanbul,Tuesday,14:49:00,Broken clouds,Mild,72,Fahrenheit,No Rain
Tokyo,Tuesday,20:49:00,Sprinkles. Overcast,Warm,77,Fahrenheit,Rain
Ittoqqortoormiit,Tuesday,10:49:00,Sunny,Chilly,36,Fahrenheit,No Rain
Toronto,Tuesday,07:49:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Izhevsk,Tuesday,15:49:00,Partly sunny,Mild,66,Fahrenheit,No Rain
Tórshavn,Tuesday,12:49:00,Drizzle. Partly sunny,Cool,48,Fahrenheit,No Rain
Jakarta,Tuesday,18:49:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Tromsø,Tuesday,13:49:00,Sunny,Cool,54,Fahrenheit,No Rain
Jerusalem,Tuesday,14:49:00,No Weather Condition Given,Pleasantly warm,89,Fahrenheit,Unknown
Tunis,Tuesday,12:49:00,Scattered clouds,Pleasantly warm,88,Fahrenheit,No Rain
Johannesburg,Tuesday,13:49:00,Sunny,Mild,73,Fahrenheit,No Rain
Ulaanbaatar,Tuesday,19:49:00,Scattered clouds,Refreshingly cool,59,Fahrenheit,No Rain
Juneau,Tuesday,03:49:00,Passing clouds,Quite cool,42,Fahrenheit,No Rain
Unalaska,Tuesday,03:49:00,Passing clouds,Cool,52,Fahrenheit,No Rain
Kaliningrad,Tuesday,13:49:00,Partly sunny,Mild,64,Fahrenheit,No Rain
Ürümqi,Tuesday,19:49:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Kampala,Tuesday,14:49:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Valletta,Tuesday,13:49:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Kangerlussuaq,Tuesday,10:49:00,Partly sunny,Quite cool,45,Fahrenheit,No Rain
Vancouver,Tuesday,04:49:00,Mostly cloudy,Cool,57,Fahrenheit,No Rain
Kansas City,Tuesday,06:49:00,Clear,Warm,82,Fahrenheit,No Rain
Vatican City,Tuesday,13:49:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Karachi,Tuesday,16:49:00,Partly sunny,Extremely hot,93,Fahrenheit,No Rain
Verkhoyansk,Tuesday,21:49:00,Overcast,Quite cool,44,Fahrenheit,No Rain
Kathmandu,Tuesday,17:34:00,Scattered clouds,Warm,79,Fahrenheit,No Rain
Victoria,Tuesday,15:49:00,Partly sunny,Warm,79,Fahrenheit,No Rain
Kemi,Tuesday,14:49:00,Passing clouds,Refreshingly cool,57,Fahrenheit,No Rain
Vienna,Tuesday,13:49:00,Passing clouds,Mild,72,Fahrenheit,No Rain
Khatanga,Tuesday,18:49:00,Overcast,Quite cool,42,Fahrenheit,No Rain
Vientiane,Tuesday,18:49:00,Drizzle. Mostly cloudy,Mild,75,Fahrenheit,No Rain
Kigali,Tuesday,13:49:00,Partly sunny,Pleasantly warm,84,Fahrenheit,No Rain
Vilnius,Tuesday,14:49:00,Broken clouds,Mild,63,Fahrenheit,No Rain
Kingston,Tuesday,06:49:00,No Weather Condition Given,Warm,84,Fahrenheit,Unknown
Vladivostok,Tuesday,21:49:00,Passing clouds,Mild,64,Fahrenheit,No Rain
Kinshasa,Tuesday,12:49:00,Clear,Warm,86,Fahrenheit,No Rain
Wake Island,Tuesday,23:49:00,Rain. Fog,Warm,80,Fahrenheit,Rain
Kiritimati,Wednesday,01:49:00,Partly cloudy,Warm,82,Fahrenheit,No Rain
Warsaw,Tuesday,13:49:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Kolkata,Tuesday,17:19:00,Broken clouds,Warm,88,Fahrenheit,No Rain
Washington DC,Tuesday,07:49:00,Passing clouds,Cool,59,Fahrenheit,No Rain
Komsomolsk-on-Amur,Tuesday,21:49:00,Overcast,Cool,62,Fahrenheit,No Rain
Wellington,Tuesday,23:49:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Krasnoyarsk,Tuesday,18:49:00,Overcast,Cool,60,Fahrenheit,No Rain
Whitehorse,Tuesday,04:49:00,Fog,Chilly,36,Fahrenheit,No Rain
Kuala Lumpur,Tuesday,19:49:00,Haze,Warm,88,Fahrenheit,No Rain
Winnipeg,Tuesday,06:49:00,No Weather Condition Given,Cool,52,Fahrenheit,Unknown
Kuujjuaq,Tuesday,07:49:00,Partly sunny,Cool,46,Fahrenheit,No Rain
Yakutsk,Tuesday,20:49:00,Passing clouds,Chilly,32,Fahrenheit,No Rain
Kuwait City,Tuesday,14:49:00,Sunny,Extremely hot,109,Fahrenheit,No Rain
Yangon,Tuesday,18:19:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Kyiv,Tuesday,14:49:00,Scattered clouds,Mild,66,Fahrenheit,No Rain
Yaoundé,Tuesday,12:49:00,Partly sunny,Warm,84,Fahrenheit,No Rain
La Paz (Bolivia),Tuesday,07:49:00,Clear,Chilly,29,Fahrenheit,No Rain
Yekaterinburg,Tuesday,16:49:00,Partly sunny,Cool,59,Fahrenheit,No Rain
Lagos,Tuesday,12:49:00,Partly sunny,Warm,88,Fahrenheit,No Rain
Yerevan,Tuesday,15:49:00,Sunny,Pleasantly warm,85,Fahrenheit,No Rain
