Name,Day,Time,Weather Conditions,Temperature Category,Temperature,Temperature Scale,Rain
Basse-Terre (Guadeloupe),Tuesday,07:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Mumbai,Tuesday,17:20:00,Scattered clouds,Warm,87,Fahrenheit,No Rain
Basseterre (St. Kitts),Tuesday,07:50:00,Sprinkles. Partly sunny,Warm,81,Fahrenheit,Rain
Murmansk,Tuesday,14:50:00,Sprinkles. Broken clouds,Cool,46,Fahrenheit,Rain
Beijing,Tuesday,19:50:00,Clear,Mild,73,Fahrenheit,No Rain
Muscat,Tuesday,15:50:00,No Weather Condition Given,Hot,90,Fahrenheit,Unknown
Beirut,Tuesday,14:50:00,Passing clouds,Hot,89,Fahrenheit,No Rain
N'Djamena,Tuesday,12:50:00,Clear,Hot,91,Fahrenheit,No Rain
Belém,Tuesday,08:50:00,Sunny,Warm,81,Fahrenheit,No Rain
Nagoya,Tuesday,20:50:00,Scattered showers. Partly cloudy,Warm,77,Fahrenheit,Rain
Belfast,Tuesday,12:50:00,Broken clouds,Mild,63,Fahrenheit,No Rain
Nairobi,Tuesday,14:50:00,Partly sunny,Mild,68,Fahrenheit,No Rain
Belgrade,Tuesday,13:50:00,Partly sunny,Mild,72,Fahrenheit,No Rain
Nashville,Tuesday,06:50:00,Sunny,Mild,72,Fahrenheit,No Rain
Belmopan,Tuesday,05:50:00,Passing clouds,Warm,85,Fahrenheit,No Rain
Nassau,Tuesday,07:50:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Belushya Guba,Tuesday,14:50:00,Partly sunny,Cool,60,Fahrenheit,No Rain
New Delhi,Tuesday,17:20:00,Partly sunny,Extremely hot,94,Fahrenheit,No Rain
Bengaluru,Tuesday,17:20:00,Scattered clouds,Warm,88,Fahrenheit,No Rain
New Orleans,Tuesday,06:50:00,Clear,Warm,81,Fahrenheit,No Rain
Berlin,Tuesday,13:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
New York,Tuesday,07:50:00,Sunny,Cool,57,Fahrenheit,No Rain
Bern,Tuesday,13:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Newark,Tuesday,07:50:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Bhubaneshwar,Tuesday,17:20:00,Light rain. Overcast,Hot,91,Fahrenheit,Rain
Ngerulmud,Tuesday,20:50:00,Overcast,Warm,85,Fahrenheit,No Rain
Billings,Tuesday,05:50:00,Passing clouds,Cool,47,Fahrenheit,No Rain
Niamey,Tuesday,12:50:00,Passing clouds,Hot,91,Fahrenheit,No Rain
Bishkek,Tuesday,17:50:00,Scattered clouds,Pleasantly warm,82,Fahrenheit,No Rain
Nicosia,Tuesday,14:50:00,Scattered clouds,Extremely hot,93,Fahrenheit,No Rain
Bismarck,Tuesday,06:50:00,Clear,Cool,51,Fahrenheit,No Rain
Norilsk,Tuesday,18:50:00,Passing clouds,Refreshingly cool,56,Fahrenheit,No Rain
Bissau,Tuesday,11:50:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Noumea,Tuesday,22:50:00,Clear,Mild,64,Fahrenheit,No Rain
Blanc-Sablon,Tuesday,07:50:00,Passing clouds,Cool,52,Fahrenheit,No Rain
Novgorod,Tuesday,14:50:00,Scattered clouds,Cool,62,Fahrenheit,No Rain
Bogota,Tuesday,06:50:00,Scattered clouds,Cool,50,Fahrenheit,No Rain
Novosibirsk,Tuesday,18:50:00,Overcast,Cool,59,Fahrenheit,No Rain
Boise,Tuesday,05:50:00,Clear,Cool,51,Fahrenheit,No Rain
Nuku'alofa,Wednesday,00:50:00,Partly cloudy,Mild,68,Fahrenheit,No Rain
Boston,Tuesday,07:50:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Nusantara,Tuesday,19:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Brasilia,Tuesday,08:50:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Nuuk,Tuesday,10:50:00,Light rain. Broken clouds,Quite cool,43,Fahrenheit,Rain
Bratislava,Tuesday,13:50:00,Scattered clouds,Mild,73,Fahrenheit,No Rain
Oklahoma City,Tuesday,06:50:00,Clear,Warm,78,Fahrenheit,No Rain
Brazzaville,Tuesday,12:50:00,Clear,Warm,86,Fahrenheit,No Rain
Omsk,Tuesday,17:50:00,Overcast,Mild,63,Fahrenheit,No Rain
Bridgetown,Tuesday,07:50:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Oral,Tuesday,16:50:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Brisbane,Tuesday,21:50:00,No Weather Condition Given,Cool,66,Fahrenheit,Unknown
Orlando,Tuesday,07:50:00,Clear,Warm,78,Fahrenheit,No Rain
Brussels,Tuesday,13:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Osaka,Tuesday,20:50:00,Partly cloudy,Mild,75,Fahrenheit,No Rain
Bucharest,Tuesday,14:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Oslo,Tuesday,13:50:00,Light rain. Low clouds,Cool,55,Fahrenheit,Rain
Budapest,Tuesday,13:50:00,Scattered clouds,Mild,75,Fahrenheit,No Rain
Ottawa,Tuesday,07:50:00,Scattered clouds,Quite cool,45,Fahrenheit,No Rain
Buenos Aires,Tuesday,08:50:00,Passing clouds,Cool,54,Fahrenheit,No Rain
Palikir,Tuesday,22:50:00,Mostly cloudy,Warm,79,Fahrenheit,No Rain
Bujumbura,Tuesday,13:50:00,Passing clouds,Hot,90,Fahrenheit,No Rain
Palma,Tuesday,13:50:00,Passing clouds,Warm,86,Fahrenheit,No Rain
Cairns,Tuesday,21:50:00,Overcast,Mild,72,Fahrenheit,No Rain
Panama,Tuesday,06:50:00,Partly cloudy,Warm,81,Fahrenheit,No Rain
Cairo,Tuesday,14:50:00,Sunny,Extremely hot,93,Fahrenheit,No Rain
Papeete,Tuesday,01:50:00,Partly cloudy,Mild,75,Fahrenheit,No Rain
Calgary,Tuesday,05:50:00,Light rain. Partly cloudy,Quite cool,45,Fahrenheit,Rain
Paramaribo,Tuesday,08:50:00,Passing clouds,Warm,78,Fahrenheit,No Rain
Canberra,Tuesday,21:50:00,Passing clouds,Cool,46,Fahrenheit,No Rain
Paris,Tuesday,13:50:00,Passing clouds,Pleasantly warm,84,Fahrenheit,No Rain
Cancún,Tuesday,06:50:00,Passing clouds,Warm,77,Fahrenheit,No Rain
Patna,Tuesday,17:20:00,Broken clouds,Hot,90,Fahrenheit,No Rain
Cape Town,Tuesday,13:50:00,Partly sunny,Mild,64,Fahrenheit,No Rain
Pensacola,Tuesday,06:50:00,Sunny,Warm,77,Fahrenheit,No Rain
Caracas,Tuesday,07:50:00,Sunny,Warm,79,Fahrenheit,No Rain
Perm,Tuesday,16:50:00,Scattered clouds,Cool,61,Fahrenheit,No Rain
Cardiff,Tuesday,12:50:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Perth,Tuesday,19:50:00,Passing clouds,Mild,68,Fahrenheit,No Rain
Casablanca,Tuesday,12:50:00,Sunny,Warm,82,Fahrenheit,No Rain
Petropavlovsk-Kamchatsky,Tuesday,23:50:00,Fog,Cool,52,Fahrenheit,No Rain
Castries,Tuesday,07:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Pevek,Tuesday,23:50:00,Fog,Chilly,36,Fahrenheit,No Rain
Cayenne,Tuesday,08:50:00,Sunny,Warm,82,Fahrenheit,No Rain
Philadelphia,Tuesday,07:50:00,Passing clouds,Cool,59,Fahrenheit,No Rain
Charleston,Tuesday,07:50:00,Fog,Cool,55,Fahrenheit,No Rain
Phoenix,Tuesday,04:50:00,Passing clouds,Warm,85,Fahrenheit,No Rain
Chelyabinsk,Tuesday,16:50:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Pituffik,Tuesday,08:50:00,Sunny,Chilly,28,Fahrenheit,No Rain
Chennai,Tuesday,17:20:00,Scattered clouds,Hot,91,Fahrenheit,No Rain
Podgorica,Tuesday,13:50:00,Passing clouds,Pleasantly warm,81,Fahrenheit,No Rain
Cheyenne,Tuesday,05:50:00,Passing clouds,Cool,47,Fahrenheit,No Rain
Pond Inlet,Tuesday,07:50:00,Overcast,Chilly,34,Fahrenheit,No Rain
Chibougamau,Tuesday,07:50:00,Sunny,Quite cool,43,Fahrenheit,No Rain
Ponta Delgada,Tuesday,11:50:00,Partly sunny,Warm,79,Fahrenheit,No Rain
Chicago,Tuesday,06:50:00,Partly cloudy,Mild,69,Fahrenheit,No Rain
Pontianak,Tuesday,18:50:00,Thundershowers. Low clouds,Mild,76,Fahrenheit,Rain
Chita,Tuesday,20:50:00,Clear,Cool,55,Fahrenheit,No Rain
Port-aux-Francais,Tuesday,16:50:00,No Weather Condition Given,Chilly,37,Fahrenheit,Unknown
Chișinău,Tuesday,14:50:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Port Louis,Tuesday,15:50:00,Partly sunny,Mild,71,Fahrenheit,No Rain
Chongqing,Tuesday,19:50:00,Mostly cloudy,Mild,68,Fahrenheit,No Rain
Port of Spain,Tuesday,07:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Colombo,Tuesday,17:20:00,Sprinkles. Overcast,Warm,83,Fahrenheit,Rain
Port Vila,Tuesday,22:50:00,Partly cloudy,Mild,70,Fahrenheit,No Rain
Columbia,Tuesday,07:50:00,Mostly cloudy,Warm,78,Fahrenheit,No Rain
Portland,Tuesday,04:50:00,Passing clouds,Cool,57,Fahrenheit,No Rain
Columbus,Tuesday,07:50:00,Passing clouds,Cool,60,Fahrenheit,No Rain
Porto Novo,Tuesday,12:50:00,Scattered clouds,Warm,84,Fahrenheit,No Rain
Conakry,Tuesday,11:50:00,No Weather Condition Given,Warm,84,Fahrenheit,Unknown
Prague,Tuesday,13:50:00,Scattered clouds,Mild,68,Fahrenheit,No Rain
Concord,Tuesday,07:50:00,Clear,Quite cool,42,Fahrenheit,No Rain
Pretoria,Tuesday,13:50:00,No Weather Condition Given,Mild,73,Fahrenheit,Unknown
Copenhagen,Tuesday,13:50:00,Mostly cloudy,Mild,63,Fahrenheit,No Rain
Pristina,Tuesday,13:50:00,Overcast,Cool,57,Fahrenheit,No Rain
Coral Harbour,Tuesday,06:50:00,Clear,Chilly,34,Fahrenheit,No Rain
Providence,Tuesday,07:50:00,Sunny,Cool,53,Fahrenheit,No Rain
Córdoba,Tuesday,08:50:00,Passing clouds,Chilly,40,Fahrenheit,No Rain
Pune,Tuesday,17:20:00,Scattered clouds,Warm,86,Fahrenheit,No Rain
Dakar,Tuesday,11:50:00,Thunderstorms. Passing clouds,Mild,73,Fahrenheit,Rain
Punta Arenas,Tuesday,08:50:00,Clear,Chilly,27,Fahrenheit,No Rain
Dallas,Tuesday,06:50:00,Clear,Warm,82,Fahrenheit,No Rain
Pyongyang,Tuesday,20:50:00,Sunny,Mild,76,Fahrenheit,No Rain
Damascus,Tuesday,14:50:00,Sunny,Extremely hot,95,Fahrenheit,No Rain
Québec,Tuesday,07:50:00,Passing clouds,Quite cool,43,Fahrenheit,No Rain
Danmarkshavn,Tuesday,11:50:00,Clear,Chilly,29,Fahrenheit,No Rain
Quito,Tuesday,06:50:00,Passing clouds,Cool,48,Fahrenheit,No Rain
Dar es Salaam,Tuesday,14:50:00,Partly sunny,Warm,86,Fahrenheit,No Rain
Rabat,Tuesday,12:50:00,Scattered clouds,Warm,79,Fahrenheit,No Rain
Darwin,Tuesday,21:20:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Raleigh,Tuesday,07:50:00,Passing clouds,Mild,63,Fahrenheit,No Rain
Delhi,Tuesday,17:20:00,Partly sunny,Extremely hot,94,Fahrenheit,No Rain
Rapid City,Tuesday,05:50:00,Clear,Cool,53,Fahrenheit,No Rain
Denpasar,Tuesday,19:50:00,Scattered clouds,Warm,81,Fahrenheit,No Rain
Rarotonga,Tuesday,01:50:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Denver,Tuesday,05:50:00,Partly cloudy,Refreshingly cool,56,Fahrenheit,No Rain
Recife,Tuesday,08:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Des Moines,Tuesday,06:50:00,Overcast,Mild,69,Fahrenheit,No Rain
Regina,Tuesday,05:50:00,Mostly cloudy,Cool,48,Fahrenheit,No Rain
Detroit,Tuesday,07:50:00,Clear,Mild,64,Fahrenheit,No Rain
Resolute Bay,Tuesday,06:50:00,Overcast,Chilly,27,Fahrenheit,No Rain
Dhaka,Tuesday,17:50:00,Partly sunny,Hot,88,Fahrenheit,No Rain
Reykjavik,Tuesday,11:50:00,Passing clouds,Cool,48,Fahrenheit,No Rain
Dodoma,Tuesday,14:50:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Richmond,Tuesday,07:50:00,Scattered clouds,Cool,57,Fahrenheit,No Rain
Doha,Tuesday,14:50:00,Clear,Extremely hot,104,Fahrenheit,No Rain
Riga,Tuesday,14:50:00,Passing clouds,Mild,66,Fahrenheit,No Rain
Douglas,Tuesday,12:50:00,Scattered clouds,Cool,61,Fahrenheit,No Rain
Rio Branco,Tuesday,06:50:00,Sunny,Mild,70,Fahrenheit,No Rain
Dover,Tuesday,07:50:00,Sunny,Cool,56,Fahrenheit,No Rain
Rio de Janeiro,Tuesday,08:50:00,Mostly cloudy,Mild,70,Fahrenheit,No Rain
Dubai,Tuesday,15:50:00,Sunny,Extremely hot,104,Fahrenheit,No Rain
Riyadh,Tuesday,14:50:00,Sunny,Extremely hot,109,Fahrenheit,No Rain
Dublin,Tuesday,12:50:00,Partly sunny,Cool,59,Fahrenheit,No Rain
Rome,Tuesday,13:50:00,Sunny,Pleasantly warm,86,Fahrenheit,No Rain
Dushanbe,Tuesday,16:50:00,Clear,Hot,91,Fahrenheit,No Rain
Roseau,Tuesday,07:50:00,Partly sunny,Warm,77,Fahrenheit,No Rain
Easter Island,Tuesday,06:50:00,Passing clouds,Cool,55,Fahrenheit,No Rain
Rovaniemi,Tuesday,14:50:00,Passing clouds,Cool,54,Fahrenheit,No Rain
Edinburgh,Tuesday,12:50:00,Partly sunny,Mild,63,Fahrenheit,No Rain
Sacramento,Tuesday,04:50:00,Clear,Cool,61,Fahrenheit,No Rain
Edmonton,Tuesday,05:50:00,Ice fog,Chilly,30,Fahrenheit,No Rain
Saint-Denis,Tuesday,15:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
El Aaiún,Tuesday,12:50:00,Clear,Extremely hot,97,Fahrenheit,No Rain
Saint George's,Tuesday,07:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Eucla,Tuesday,20:35:00,No Weather Condition Given,Cool,58,Fahrenheit,Unknown
Saint John (New Brunswick),Tuesday,08:50:00,Passing clouds,Cool,50,Fahrenheit,No Rain
Eureka,Tuesday,06:50:00,Low clouds,Cold,23,Fahrenheit,No Rain
Saint John's (Antigua),Tuesday,07:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
Fairbanks,Tuesday,03:50:00,Clear,Quite cool,41,Fahrenheit,No Rain
Saint Paul,Tuesday,06:50:00,Low clouds,Cool,60,Fahrenheit,No Rain
Fort-de-France,Tuesday,07:50:00,Sunny,Warm,84,Fahrenheit,No Rain
Saint Petersburg,Tuesday,14:50:00,Partly sunny,Cool,59,Fahrenheit,No Rain
Fortaleza,Tuesday,08:50:00,Partly sunny,Warm,82,Fahrenheit,No Rain
Salem,Tuesday,04:50:00,Clear,Cool,50,Fahrenheit,No Rain
Frankfurt,Tuesday,13:50:00,Sunny,Warm,79,Fahrenheit,No Rain
Salt Lake City,Tuesday,05:50:00,Clear,Cool,54,Fahrenheit,No Rain
Freetown,Tuesday,11:50:00,Rain. Partly sunny,Warm,77,Fahrenheit,Rain
Salvador,Tuesday,08:50:00,Passing clouds,Warm,81,Fahrenheit,No Rain
Funafuti,Tuesday,23:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Samara,Tuesday,15:50:00,Passing clouds,Mild,72,Fahrenheit,No Rain
Gaborone,Tuesday,13:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
San Diego,Tuesday,04:50:00,Passing clouds,Mild,68,Fahrenheit,No Rain
Geneva,Tuesday,13:50:00,Sunny,Warm,79,Fahrenheit,No Rain
San Francisco,Tuesday,04:50:00,Passing clouds,Cool,58,Fahrenheit,No Rain
George Town (Cayman Islands),Tuesday,06:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
San Jose (Costa Rica),Tuesday,05:50:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Georgetown (Guyana),Tuesday,07:50:00,Passing clouds,Warm,77,Fahrenheit,No Rain
San Jose (US-CA),Tuesday,04:50:00,Clear,Cool,60,Fahrenheit,No Rain
Gibraltar,Tuesday,13:50:00,Sunny,Warm,77,Fahrenheit,No Rain
San Juan,Tuesday,07:50:00,Partly cloudy,Warm,81,Fahrenheit,No Rain
Gitega,Tuesday,13:50:00,Passing clouds,Hot,90,Fahrenheit,No Rain
San Marino,Tuesday,13:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Glasgow,Tuesday,12:50:00,Light rain. Partly sunny,Cool,59,Fahrenheit,Rain
San Salvador,Tuesday,05:50:00,Passing clouds,Mild,75,Fahrenheit,No Rain
Guadalajara,Tuesday,05:50:00,Mostly cloudy,Mild,63,Fahrenheit,No Rain
Santiago,Tuesday,08:50:00,Clear,Quite cool,45,Fahrenheit,No Rain
Guatemala City,Tuesday,05:50:00,Passing clouds,Chilly,34,Fahrenheit,No Rain
Santo Domingo,Tuesday,07:50:00,Passing clouds,Warm,78,Fahrenheit,No Rain
Guayaquil,Tuesday,06:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
São Paulo,Tuesday,08:50:00,More clouds than sun,Cool,57,Fahrenheit,No Rain
Hagåtña,Tuesday,21:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
São Tomé,Tuesday,11:50:00,Partly sunny,Warm,88,Fahrenheit,No Rain
Halifax,Tuesday,08:50:00,Passing clouds,Cool,50,Fahrenheit,No Rain
Sapporo,Tuesday,20:50:00,No Weather Condition Given,Mild,67,Fahrenheit,Unknown
Hamilton,Tuesday,08:50:00,Scattered showers. Broken clouds,Warm,79,Fahrenheit,Rain
Sarajevo,Tuesday,13:50:00,Partly sunny,Mild,70,Fahrenheit,No Rain
Hanoi,Tuesday,18:50:00,Light rain. Partly cloudy,Warm,77,Fahrenheit,Rain
Seattle,Tuesday,04:50:00,Clear,Cool,57,Fahrenheit,No Rain
Happy Valley-Goose Bay,Tuesday,08:50:00,Passing clouds,Cool,50,Fahrenheit,No Rain
Seoul,Tuesday,20:50:00,Clear,Mild,68,Fahrenheit,No Rain
Harare,Tuesday,13:50:00,Sunny,Mild,76,Fahrenheit,No Rain
Shanghai,Tuesday,19:50:00,Passing clouds,Warm,79,Fahrenheit,No Rain
Hartford,Tuesday,07:50:00,Sunny,Cool,49,Fahrenheit,No Rain
Shenzhen,Tuesday,19:50:00,Clear,Warm,84,Fahrenheit,No Rain
Havana,Tuesday,07:50:00,Passing clouds,Mild,73,Fahrenheit,No Rain
Singapore,Tuesday,19:50:00,Partly sunny,Warm,86,Fahrenheit,No Rain
Helsinki,Tuesday,14:50:00,Passing clouds,Refreshingly cool,61,Fahrenheit,No Rain
Sioux Falls,Tuesday,06:50:00,Passing clouds,Cool,56,Fahrenheit,No Rain
Hermosillo,Tuesday,04:50:00,Passing clouds,Warm,82,Fahrenheit,No Rain
Skopje,Tuesday,13:50:00,Passing clouds,Pleasantly warm,79,Fahrenheit,No Rain
Ho Chi Minh,Tuesday,18:50:00,Passing clouds,Warm,88,Fahrenheit,No Rain
Sofia,Tuesday,14:50:00,Partly sunny,Mild,65,Fahrenheit,No Rain
Hobart,Tuesday,21:50:00,Passing clouds,Quite cool,45,Fahrenheit,No Rain
Sri Jayawardenepura Kotte,Tuesday,17:20:00,Sprinkles. Overcast,Warm,83,Fahrenheit,Rain
Hong Kong,Tuesday,19:50:00,Passing clouds,Warm,84,Fahrenheit,No Rain
St. John's (Newfoundland),Tuesday,09:20:00,Mostly cloudy,Cool,61,Fahrenheit,No Rain
Honiara,Tuesday,22:50:00,Overcast,Warm,80,Fahrenheit,No Rain
St. Louis,Tuesday,06:50:00,Clear,Mild,76,Fahrenheit,No Rain
